"","date_day","poll","all"
"1",2007-01-22,1,23
"2",2007-01-23,5,36
"3",2007-01-24,2,38
"4",2007-01-27,3,19
"5",2007-01-28,2,13
"6",2007-01-29,4,39
"7",2007-01-30,3,36
"8",2007-01-31,2,47
"9",2007-02-01,1,13
"10",2007-02-02,2,21
"11",2007-02-03,2,11
"12",2007-02-04,1,6
"13",2007-02-05,2,38
"14",2007-02-06,6,35
"15",2007-02-07,3,45
"16",2007-02-12,4,36
"17",2007-02-13,2,46
"18",2007-02-14,5,43
"19",2007-02-16,1,20
"20",2007-02-19,6,36
"21",2007-02-21,1,25
"22",2007-02-22,2,25
"23",2007-02-23,2,22
"24",2007-02-24,3,11
"25",2007-02-25,1,4
"26",2007-02-26,4,31
"27",2007-02-27,9,40
"28",2007-02-28,6,35
"29",2007-03-01,1,24
"30",2007-03-02,4,15
"31",2007-03-04,2,6
"32",2007-03-05,7,46
"33",2007-03-06,5,41
"34",2007-03-07,1,38
"35",2007-03-08,4,23
"36",2007-03-09,1,16
"37",2007-03-11,1,5
"38",2007-03-12,5,39
"39",2007-03-13,3,31
"40",2007-03-14,3,45
"41",2007-03-16,1,18
"42",2007-03-17,2,26
"43",2007-03-19,3,52
"44",2007-03-20,3,40
"45",2007-03-21,2,41
"46",2007-03-23,1,20
"47",2007-03-25,2,9
"48",2007-03-26,5,35
"49",2007-03-27,7,39
"50",2007-03-28,6,37
"51",2007-03-29,2,23
"52",2007-03-30,2,17
"53",2007-04-02,5,30
"54",2007-04-04,2,18
"55",2007-04-05,2,10
"56",2007-04-06,4,16
"57",2007-04-07,2,9
"58",2007-04-09,6,34
"59",2007-04-10,8,34
"60",2007-04-11,8,45
"61",2007-04-12,3,23
"62",2007-04-13,4,19
"63",2007-04-15,1,9
"64",2007-04-16,9,39
"65",2007-04-17,8,35
"66",2007-04-18,7,34
"67",2007-04-20,1,23
"68",2007-04-22,1,8
"69",2007-04-23,7,40
"70",2007-04-24,11,38
"71",2007-04-25,5,36
"72",2007-04-26,4,30
"73",2007-04-27,4,23
"74",2007-04-29,1,5
"75",2007-04-30,5,34
"76",2007-05-01,4,42
"77",2007-05-02,6,33
"78",2007-05-03,4,32
"79",2007-05-04,3,20
"80",2007-05-07,12,39
"81",2007-05-08,5,29
"82",2007-05-09,6,41
"83",2007-05-10,4,26
"84",2007-05-11,4,23
"85",2007-05-12,2,3
"86",2007-05-13,1,9
"87",2007-05-14,4,30
"88",2007-05-15,6,49
"89",2007-05-16,2,45
"90",2007-05-17,4,31
"91",2007-05-18,3,27
"92",2007-05-19,1,4
"93",2007-05-20,2,5
"94",2007-05-21,7,37
